DateSim,Province_ID,Province,DateForecast,Daily_Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2020,50,เชียงใหม่,Forecastmon01,89.040016,3032.8402,100.0,70784.29119999999,67751.45270000001,0,0
01/01/2020,51,ลำพูน,Forecastmon01,88.37914,1081.3298,100.0,18546.1031,17464.7726,0,0
01/01/2020,58,แม่ฮ่องสอน,Forecastmon01,97.517,1.7028,100.0,101.2838,99.58109999999999,0,0
01/01/2020,62,กำแพงเพชร,Forecastmon01,83.05714,86.42830000000001,100.0,1706.2482,1619.8200000000002,0,0
01/01/2020,63,ตาก,Forecastmon01,86.755356,808.1365000000001,100.0,9195.7514,8387.6155,0,0
01/01/2021,50,เชียงใหม่,Forecastmon13,389.76474,86624.18749999999,100.0,1052449.5972,965825.4057,3,3
01/01/2021,51,ลำพูน,Forecastmon13,386.87183,37994.59,100.0,271718.3393,233723.7495,3,3
01/01/2021,58,แม่ฮ่องสอน,Forecastmon13,426.872,25.8514,100.0,1494.0986,1468.2472,3,3
01/01/2021,62,กำแพงเพชร,Forecastmon13,363.57523,16813.6715,100.0,25772.405600000002,8958.7341,3,3
01/01/2021,63,ตาก,Forecastmon13,379.76385,106581.53199999999,100.0,134991.3696,28409.837700000004,3,3
01/01/2022,50,เชียงใหม่,Forecastmon25,80.75936,71259.31719999999,100.0,172300.3258,101041.0112,3,3
01/01/2022,51,ลำพูน,Forecastmon25,80.15996,31023.360500000003,100.0,44033.1397,13009.7782,3,3
01/01/2022,58,แม่ฮ่องสอน,Forecastmon25,88.448,21.293200000000002,100.0,255.35850000000002,234.0653,0,3
01/01/2022,62,กำแพงเพชร,Forecastmon25,75.3329,13505.107899999999,100.0,4178.3483,-9326.759600000001,3,3
01/01/2022,63,ตาก,Forecastmon25,78.68718,86071.4805,100.0,21885.6438,-64185.8365,3,3
01/01/2023,50,เชียงใหม่,Forecastmon37,3.9490325,57823.0287,100.0,143914.6577,86091.62879999999,3,3
01/01/2023,51,ลำพูน,Forecastmon37,3.9197226,25274.9787,100.0,36589.3419,11314.363900000002,3,3
01/01/2023,58,แม่ฮ่องสอน,Forecastmon37,4.325,17.8806,100.0,211.218,193.3375,3,3
01/01/2023,62,กำแพงเพชร,Forecastmon37,3.683686,11337.2068,100.0,3507.2526,-7829.9541,3,3
01/01/2023,63,ตาก,Forecastmon37,3.8477013,70934.5662,100.0,18243.2519,-52691.3142,3,3
01/01/2024,50,เชียงใหม่,Forecastmon49,0.0,60193.723699999995,100.0,133024.2868,72830.5607,3,3
01/01/2024,51,ลำพูน,Forecastmon49,0.0,27403.1405,100.0,33735.7569,6332.6161,3,3
01/01/2024,58,แม่ฮ่องสอน,Forecastmon49,0.0,16.3119,100.0,194.643,178.33120000000002,3,3
01/01/2024,62,กำแพงเพชร,Forecastmon49,0.0,13621.8665,100.0,3250.3858,-10371.4807,3,3
01/01/2024,63,ตาก,Forecastmon49,0.0,83747.79490000001,100.0,16793.5622,-66954.2321,3,3
01/01/2025,50,เชียงใหม่,Forecastmon61,0.0,39039.0137,100.0,145657.0138,106618.0003,3,3
01/01/2025,51,ลำพูน,Forecastmon61,0.0,17337.2681,100.0,37191.5526,19854.284200000002,3,3
01/01/2025,58,แม่ฮ่องสอน,Forecastmon61,0.0,11.9801,100.0,213.57559999999998,201.5953,3,1
01/01/2025,62,กำแพงเพชร,Forecastmon61,0.0,8296.6655,100.0,3586.4813000000004,-4710.1841,3,2
01/01/2025,63,ตาก,Forecastmon61,0.0,50677.1258,100.0,18555.1993,-32121.926300000003,3,3
01/02/2020,50,เชียงใหม่,Forecastmon02,54.24559,16268.9206,100.0,56245.6792,39976.7584,0,1
01/02/2020,51,ลำพูน,Forecastmon02,53.842968,6883.9891,100.0,14818.004500000001,7934.0151000000005,0,1
01/02/2020,58,แม่ฮ่องสอน,Forecastmon02,59.41,5.828100000000001,100.0,86.97829999999999,81.15010000000001,0,0
01/02/2020,62,กำแพงเพชร,Forecastmon02,50.600662,2084.9124,100.0,1315.5656000000001,-769.3469,0,0
01/02/2020,63,ตาก,Forecastmon02,52.853718,16093.583999999999,100.0,7320.7498000000005,-8772.8333,0,0
01/02/2021,50,เชียงใหม่,Forecastmon14,46.984848,39825.638999999996,100.0,77458.553,37632.915700000005,3,3
01/02/2021,51,ลำพูน,Forecastmon14,46.636116,17856.4561,100.0,19963.2529,2106.7967999999987,3,3
01/02/2021,58,แม่ฮ่องสอน,Forecastmon14,51.458,12.2954,100.0,121.8698,109.5745,3,2
01/02/2021,62,กำแพงเพชร,Forecastmon14,43.827793,8708.5451,100.0,1828.1172000000001,-6880.428,3,3
01/02/2021,63,ตาก,Forecastmon14,45.779274,52926.2617,100.0,9882.001400000001,-43044.2601,3,3
01/02/2022,50,เชียงใหม่,Forecastmon26,229.40468,45974.4884,100.0,945503.1155,899528.6273,3,3
01/02/2022,51,ลำพูน,Forecastmon26,227.70201,20494.0174,100.0,244238.5292,223744.51189999998,3,3
01/02/2022,58,แม่ฮ่องสอน,Forecastmon26,251.245,14.2041,100.0,1338.0346,1323.8303999999998,3,3
01/02/2022,62,กำแพงเพชร,Forecastmon26,213.99028,9300.9825,100.0,23330.3944,14029.411799999998,3,3
01/02/2022,63,ตาก,Forecastmon26,223.51846,58627.7349,100.0,121360.7055,62732.971,3,3
01/02/2023,50,เชียงใหม่,Forecastmon38,104.27278,37926.4138,100.0,154535.7213,116609.30960000001,3,3
01/02/2023,51,ลำพูน,Forecastmon38,103.498856,16587.664299999997,100.0,39322.3726,22734.708,3,3
01/02/2023,58,แม่ฮ่องสอน,Forecastmon38,114.2,11.695,100.0,227.6611,215.966,3,2
01/02/2023,62,กำแพงเพชร,Forecastmon38,97.26638,7634.7416,100.0,3742.2605000000003,-3892.4812,3,2
01/02/2023,63,ตาก,Forecastmon38,101.59727,47345.8208,100.0,19500.031199999998,-27845.789399999998,3,3
01/02/2024,50,เชียงใหม่,Forecastmon50,16.43346,59022.807,100.0,138168.2416,79145.4344,3,3
01/02/2024,51,ลำพูน,Forecastmon50,16.311491,25633.8227,100.0,35081.8522,9448.0293,3,3
01/02/2024,58,แม่ฮ่องสอน,Forecastmon50,17.998,18.909200000000002,100.0,202.141,183.2318,3,3
01/02/2024,62,กำแพงเพชร,Forecastmon50,15.32925,10969.347699999998,100.0,3365.2565000000004,-7604.091100000001,3,3
01/02/2024,63,ตาก,Forecastmon50,16.011805,69884.7001,100.0,17469.7208,-52414.9792,3,3
01/03/2020,50,เชียงใหม่,Forecastmon03,63.17177,30865.8858,100.0,85822.0944,54956.2108,0,1
01/03/2020,51,ลำพูน,Forecastmon03,62.702904,13013.444599999999,100.0,22331.0341,9317.5889,0,1
01/03/2020,58,แม่ฮ่องสอน,Forecastmon03,69.186,10.645199999999999,100.0,124.1259,113.48069999999998,0,1
01/03/2020,62,กำแพงเพชร,Forecastmon03,58.927074,4782.3925,100.0,2046.5744,-2735.8183000000004,0,1
01/03/2020,63,ตาก,Forecastmon03,61.550865,32031.3274,100.0,11051.735700000001,-20979.5916,0,1
01/03/2021,50,เชียงใหม่,Forecastmon15,69.25831,44470.7249,100.0,56152.3355,11681.61,3,3
01/03/2021,51,ลำพูน,Forecastmon15,68.74426,19337.024299999997,100.0,14578.0973,-4758.9272,3,3
01/03/2021,58,แม่ฮ่องสอน,Forecastmon15,75.852,14.543599999999998,100.0,78.4727,63.929,3,2
01/03/2021,62,กำแพงเพชร,Forecastmon15,64.60463,8324.9786,100.0,1376.6814,-6948.297200000001,3,2
01/03/2021,63,ตาก,Forecastmon15,67.481224,52970.0458,100.0,7176.2185,-45793.8275,3,3
01/03/2022,50,เชียงใหม่,Forecastmon27,77.704216,38810.976899999994,100.0,124149.6085,85338.6334,3,3
01/03/2022,51,ลำพูน,Forecastmon27,77.12749,16795.9182,100.0,31579.5224,14783.604,3,3
01/03/2022,58,แม่ฮ่องสอน,Forecastmon27,85.102,12.7103,100.0,182.395,169.6846,3,2
01/03/2022,62,กำแพงเพชร,Forecastmon27,72.48304,7134.9355,100.0,3018.0982,-4116.8371,3,1
01/03/2022,63,ตาก,Forecastmon27,75.710434,45260.698899999996,100.0,15708.5236,-29552.1756,3,3
01/03/2023,50,เชียงใหม่,Forecastmon39,269.5999,37659.6011,100.0,968367.6255,930708.0228,3,3
01/03/2023,51,ลำพูน,Forecastmon39,267.5989,16210.5221,100.0,249225.4274,233014.9056,3,3
01/03/2023,58,แม่ฮ่องสอน,Forecastmon39,295.267,12.818299999999999,100.0,1350.2208,1337.4026,3,2
01/03/2023,62,กำแพงเพชร,Forecastmon39,251.48468,6795.0849,100.0,23984.076100000002,17188.991299999998,3,1
01/03/2023,63,ตาก,Forecastmon39,262.6823,43496.7872,100.0,124036.8494,80540.06249999999,3,3
01/03/2024,50,เชียงใหม่,Forecastmon51,116.383766,80577.53629999999,100.0,225027.3646,144449.8291,3,3
01/03/2024,51,ลำพูน,Forecastmon51,115.51994,34308.02709999999,100.0,56601.318,22293.291599999997,3,3
01/03/2024,58,แม่ฮ่องสอน,Forecastmon51,127.464,28.0259,100.0,346.092,318.0661,0,3
01/03/2024,62,กำแพงเพชร,Forecastmon51,108.56359,13847.943200000002,100.0,5399.504900000001,-8448.438400000001,3,3
01/03/2024,63,ตาก,Forecastmon51,113.3975,89715.1633,100.0,28203.4195,-61511.744399999996,3,3
01/04/2020,50,เชียงใหม่,Forecastmon04,25.944931,24076.5423,100.0,40330.5407,16253.996899999998,0,1
01/04/2020,51,ลำพูน,Forecastmon04,25.752363,10358.436,100.0,10473.589,115.15380000000027,0,1
01/04/2020,58,แม่ฮ่องสอน,Forecastmon04,28.415,7.789899999999999,100.0,56.0929,48.3032,0,0
01/04/2020,62,กำแพงเพชร,Forecastmon04,24.201614,4443.0746,100.0,995.8847000000001,-3447.1895000000004,0,1
01/04/2020,63,ตาก,Forecastmon04,25.279211,28223.2429,100.0,5193.6792,-23029.5642,0,1
01/04/2021,50,เชียงใหม่,Forecastmon16,27.183971,21466.9397,100.0,62208.161,40741.22,3,1
01/04/2021,51,ลำพูน,Forecastmon16,26.982206,9276.8038,100.0,16070.949,6794.145400000001,3,1
01/04/2021,58,แม่ฮ่องสอน,Forecastmon16,29.772,7.139200000000001,100.0,92.9657,85.8265,3,0
01/04/2021,62,กำแพงเพชร,Forecastmon16,25.3574,4126.9435,100.0,1500.756,-2626.1877,3,0
01/04/2021,63,ตาก,Forecastmon16,26.486465,25715.3127,100.0,7943.327200000001,-17771.9858,3,0
01/04/2022,50,เชียงใหม่,Forecastmon28,55.827023,33259.6606,100.0,70635.8444,37376.1832,3,3
01/04/2022,51,ลำพูน,Forecastmon28,55.41267,14326.367,100.0,18120.3965,3794.0282000000007,3,2
01/04/2022,58,แม่ฮ่องสอน,Forecastmon28,61.142,10.9703,100.0,98.9725,88.00200000000001,3,1
01/04/2022,62,กำแพงเพชร,Forecastmon28,52.075836,6131.8152,100.0,1738.7260999999999,-4393.0894,3,1
01/04/2022,63,ตาก,Forecastmon28,54.39457,39012.4734,100.0,8993.6693,-30018.804,3,3
01/04/2023,50,เชียงใหม่,Forecastmon40,85.39229,15633.7866,100.0,96145.9434,80512.1561,3,0
01/04/2023,51,ลำพูน,Forecastmon40,84.75849,6696.9054,100.0,24989.1544,18292.2487,3,0
01/04/2023,58,แม่ฮ่องสอน,Forecastmon40,93.522,5.4102,100.0,141.3001,135.89010000000002,3,0
01/04/2023,62,กำแพงเพชร,Forecastmon40,79.65451,3007.8066,100.0,2323.7304999999997,-684.0761000000001,3,0
01/04/2023,63,ตาก,Forecastmon40,83.20123,18487.6864,100.0,12299.4608,-6188.224700000001,3,0
01/04/2024,50,เชียงใหม่,Forecastmon52,316.54367,61370.5057,100.0,960650.8338,899280.3255,3,3
01/04/2024,51,ลำพูน,Forecastmon52,314.19424,26436.805899999996,100.0,247956.90159999998,221520.0957,3,3
01/04/2024,58,แม่ฮ่องสอน,Forecastmon52,346.68,19.4827,100.0,1367.0157,1347.533,3,3
01/04/2024,62,กำแพงเพชร,Forecastmon52,295.27414,10854.4044,100.0,23674.752299999996,12820.3481,3,3
01/04/2024,63,ตาก,Forecastmon52,308.42157,69877.17850000001,100.0,123435.6131,53558.43429999999,3,3
01/05/2020,50,เชียงใหม่,Forecastmon05,0.0,12713.152,100.0,39786.7534,27073.603,3,0
01/05/2020,51,ลำพูน,Forecastmon05,0.0,5524.6648,100.0,10351.5131,4826.8486,2,0
01/05/2020,58,แม่ฮ่องสอน,Forecastmon05,0.0,4.3601,100.0,51.826800000000006,47.4666,0,0
01/05/2020,62,กำแพงเพชร,Forecastmon05,0.0,2392.8617,100.0,1001.1510000000001,-1391.7105999999999,3,0
01/05/2020,63,ตาก,Forecastmon05,0.0,15010.5313,100.0,5133.5395,-9876.9913,2,0
01/05/2021,50,เชียงใหม่,Forecastmon17,5.1259785,11492.927599999999,100.0,42521.170099999996,31028.2435,3,0
01/05/2021,51,ลำพูน,Forecastmon17,5.087936,5072.411700000001,100.0,11091.3508,6018.9392,3,0
01/05/2021,58,แม่ฮ่องสอน,Forecastmon17,5.614,4.1015,100.0,55.3874,51.285799999999995,3,0
01/05/2021,62,กำแพงเพชร,Forecastmon17,4.78155,2346.5762,100.0,1069.4023,-1277.1738,3,0
01/05/2021,63,ตาก,Forecastmon17,4.9944572,14433.4389,100.0,5494.4382000000005,-8939.000199999999,3,0
01/05/2022,50,เชียงใหม่,Forecastmon29,18.677795,29199.5551,100.0,103557.336,74357.7819,3,1
01/05/2022,51,ลำพูน,Forecastmon29,18.539165,12565.5427,100.0,26475.3068,13909.763099999998,3,1
01/05/2022,58,แม่ฮ่องสอน,Forecastmon29,20.456,10.0341,100.0,148.4496,138.4155,3,1
01/05/2022,62,กำแพงเพชร,Forecastmon29,17.422777,5210.1866,100.0,2532.5674,-2677.6193,3,1
01/05/2022,63,ตาก,Forecastmon29,18.198544,33217.2637,100.0,13138.4171,-20078.8464,3,1
01/05/2023,50,เชียงใหม่,Forecastmon41,58.25579,14418.5932,100.0,57769.7159,43351.1253,3,0
01/05/2023,51,ลำพูน,Forecastmon41,57.82341,6064.367999999999,100.0,15090.0056,9025.637999999999,3,0
01/05/2023,58,แม่ฮ่องสอน,Forecastmon41,63.802,5.5165,100.0,89.4938,83.9774,3,0
01/05/2023,62,กำแพงเพชร,Forecastmon41,54.341404,2219.5491,100.0,1374.1115,-845.4379000000001,3,0
01/05/2023,63,ตาก,Forecastmon41,56.761024,14650.5812,100.0,7417.4292,-7233.1529,3,0
01/05/2024,50,เชียงใหม่,Forecastmon53,152.97055,37096.2258,100.0,150132.8679,113036.6424,3,3
01/05/2024,51,ลำพูน,Forecastmon53,151.83517,16219.1537,100.0,38289.4067,22070.2531,3,3
01/05/2024,58,แม่ฮ่องสอน,Forecastmon53,167.534,11.6445,100.0,215.7341,204.0895,3,1
01/05/2024,62,กำแพงเพชร,Forecastmon53,142.692,7511.608,100.0,3642.7864,-3868.8214999999996,3,2
01/05/2024,63,ตาก,Forecastmon53,149.0455,46289.9489,100.0,18952.402,-27337.5466,3,3
01/05/2025,50,เชียงใหม่,Forecastmon62,403.11383,39908.7117,100.0,1027578.9001,987670.1873,3,3
01/05/2025,51,ลำพูน,Forecastmon62,400.12186,17225.6699,100.0,264372.89160000003,247147.22090000001,3,3
01/05/2025,58,แม่ฮ่องสอน,Forecastmon62,441.492,13.1256,100.0,1473.4702,1460.3447,3,1
01/05/2025,62,กำแพงเพชร,Forecastmon62,376.02737,7204.634099999999,100.0,25218.7563,18014.122300000003,3,1
01/05/2025,63,ตาก,Forecastmon62,392.77045,46104.736300000004,100.0,131544.3789,85439.6424,3,3
01/06/2020,50,เชียงใหม่,Forecastmon06,0.0,8694.4896,100.0,38405.341199999995,29710.8493,3,0
01/06/2020,51,ลำพูน,Forecastmon06,0.0,3746.6569999999997,100.0,9988.6917,6242.034000000001,3,0
01/06/2020,58,แม่ฮ่องสอน,Forecastmon06,0.0,3.3483,100.0,50.4055,47.0572,3,0
01/06/2020,62,กำแพงเพชร,Forecastmon06,0.0,1431.3004,100.0,972.7568000000001,-458.54350000000005,3,0
01/06/2020,63,ตาก,Forecastmon06,0.0,9259.8597,100.0,4973.0553,-4286.804800000001,3,0
01/06/2021,50,เชียงใหม่,Forecastmon18,0.0,3918.8523,100.0,42129.1345,38210.2825,3,0
01/06/2021,51,ลำพูน,Forecastmon18,0.0,1716.4891,100.0,11010.0322,9293.542800000001,3,0
01/06/2021,58,แม่ฮ่องสอน,Forecastmon18,0.0,1.7612999999999999,100.0,55.5112,53.74980000000001,3,0
01/06/2021,62,กำแพงเพชร,Forecastmon18,0.0,783.5747000000001,100.0,1064.5782,281.00329999999997,3,0
01/06/2021,63,ตาก,Forecastmon18,0.0,4593.7044,100.0,5473.5778,879.8726999999999,3,0
01/06/2022,50,เชียงใหม่,Forecastmon30,9.16724,21901.7663,100.0,56782.394,34880.6281,3,1
01/06/2022,51,ลำพูน,Forecastmon30,9.0992,9495.3821,100.0,14620.9086,5125.5263,3,0
01/06/2022,58,แม่ฮ่องสอน,Forecastmon30,10.04,7.3445,100.0,76.8674,69.523,3,0
01/06/2022,62,กำแพงเพชร,Forecastmon30,8.551267,4009.5931999999993,100.0,1403.0832000000003,-2606.5098000000003,3,0
01/06/2022,63,ตาก,Forecastmon30,8.932017,25637.7583,100.0,7236.9594,-18400.7997,3,0
01/06/2023,50,เชียงใหม่,Forecastmon42,36.33933,16135.3837,100.0,52965.4307,36830.0487,3,0
